gid;angulo;fecha_actua;hora_actual;idpm;ih;created_use;created_dat;last_edited;last_edited.1
27497;251;;;1822;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27499;177;;;1165;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27501;131;;;1045;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27504;184;;;1441;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27506;145;;;1922;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27507;184;;;1043;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27509;166;;;435;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27511;120;;;540;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27512;250;;;1442;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27513;160;;;1443;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27518;223;;;3937;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27520;160;;;4113;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27522;49;;;2438;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27525;130;;;4027;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27534;178;;;836;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27545;138;;;1449;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27546;158;;;2136;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27550;151;;;4510;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27551;303;;;239;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27554;206;;;1545;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27555;162;;;1440;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27559;75;;;538;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
